House,OWLs,House Points Won,House Points lost,Total Points for the Year,Year
Slytherin,5,294,2,292,7
Ravenclaw,5,297,5,292,7
Ravenclaw,5,294,5,289,5
Gryffindor,5,302,15,287,7
Hufflepuff,5,297,10,287,5
Ravenclaw,5,296,10,286,7
Ravenclaw,5,287,2,285,6
Hufflepuff,5,290,5,285,5
Ravenclaw,5,294,10,284,6
Ravenclaw,5,298,15,283,7
Ravenclaw,5,298,15,283,7
Hufflepuff,5,298,15,283,5
Slytherin,5,287,5,282,7
Ravenclaw,5,301,19,282,7
Slytherin,5,301,20,281,6
Ravenclaw,5,291,10,281,5
Ravenclaw,5,297,19,278,6
Hufflepuff,5,298,20,278,6
Ravenclaw,5,287,10,277,7
Ravenclaw,5,280,3,277,6
Ravenclaw,5,291,15,276,5
Ravenclaw,5,291,15,276,5
Hufflepuff,5,291,15,276,5
Hufflepuff,5,291,15,276,5
Hufflepuff,5,291,15,276,5
Ravenclaw,5,290,15,275,7
Ravenclaw,5,294,20,274,6
Ravenclaw,5,294,20,274,6
Ravenclaw,5,294,20,274,6
Ravenclaw,5,298,25,273,6
Ravenclaw,5,287,15,272,7
Ravenclaw,5,287,15,272,5
Ravenclaw,5,301,29,272,6
Hufflepuff,5,287,15,272,5
Gryffindor,5,290,20,270,6
Slytherin,5,289,19,270,6
Ravenclaw,5,299,29,270,6
Hufflepuff,5,280,10,270,6
Ravenclaw,5,284,15,269,7
Ravenclaw,5,298,29,269,5
Ravenclaw,5,284,15,269,5
Slytherin,5,271,3,268,7
Ravenclaw,5,297,29,268,5
Hufflepuff,5,291,23,268,7
Hufflepuff,5,287,19,268,7
Slytherin,5,290,23,267,5
Hufflepuff,5,297,30,267,6
Slytherin,5,296,30,266,6
Slytherin,5,276,10,266,6
Ravenclaw,5,281,15,266,5
Ravenclaw,5,298,32,266,5
Hufflepuff,5,281,15,266,5
Hufflepuff,5,294,28,266,7
Slytherin,5,290,25,265,6
Ravenclaw,5,294,29,265,7
Ravenclaw,5,280,15,265,7
Ravenclaw,5,287,23,264,7
Ravenclaw,5,284,20,264,6
Slytherin,5,296,33,263,6
